id	cycle	FieldID	ImageResolutionX	ImageResolutionY	ImageSizeX	ImageSizeY	PositionX	PositionY
93	2	4	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.002906164
94	2	5	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.002324931
95	2	6	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.002324931
96	2	7	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.002324931
97	2	8	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.002324931
98	2	9	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.002324931
99	2	10	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.002324931
100	2	11	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.002324931
101	2	12	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0.001743698
102	2	13	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.001743698
103	2	14	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.001743698
104	2	15	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.001743698
105	2	16	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.001743698
106	2	17	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.001743698
107	2	18	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.001743698
108	2	19	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.001743698
109	2	20	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.001743698
110	2	21	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.001162466
111	2	22	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.001162466
112	2	23	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.001162466
113	2	24	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.001162466
114	2	25	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.001162466
