objId	EGFP	OLLAS	ALFA	FLAG	VSVG	bcd
B10n4781	4962.25	211.85	4957.25	229.63	4612.5	FLAG_ALFA_VSVG
B10n4787	2721.56	211.665	3078.08	228	2983.56	FLAG_ALFA_VSVG
B10n4788	6276.96	217.075	8312.68	267.8	7693.72	FLAG_ALFA_VSVG
B10n4791	6572.27	213.52	8153.54	277.24	7671.6	FLAG_ALFA_VSVG
B10n4789	1935.36	196.125	1587.18	200.9	1166.4	FLAG_ALFA_VSVG
B10n4790	4503.5	167.49	2933.2	246.56	4684	FLAG_ALFA_VSVG
B10n4792	6136.7	147.85	5190.1	267.85	6822.59	FLAG_ALFA_VSVG
B10n4793	1851.05	150.95	1884.1	201.7	1541.15	FLAG_ALFA_VSVG
B10n4794	2373.9	142.495	2932.1	188.1	2266.52	FLAG_ALFA_VSVG
B10n4795	3548.34	97.54	3282.5	246	5010.22	FLAG_ALFA_VSVG
B10n4796	7299.5	157.65	6679.45	297.85	7726.64	FLAG_ALFA_VSVG
B10n4800	2857.68	198.545	2844.4	208.84	2437.36	FLAG_ALFA_VSVG
B10n4798	1025.5	142.54	1290.8	188.3	917.66	FLAG_ALFA_VSVG
B10n4801	1847.65	223.27	2195.38	210.18	2330.94	FLAG_ALFA_VSVG
B10n4799	4394.54	168.115	4331.82	234.58	4610.5	FLAG_ALFA_VSVG
B10n4797	5221.35	165.39	5781.2	252.6	5006.98	FLAG_ALFA_VSVG
B10n4803	6508.85	203.87	5854.96	254.01	6927.58	FLAG_ALFA_VSVG
B10n4802	4979.55	218.34	4936.25	229.2	5436.74	FLAG_ALFA_VSVG
B10n4805	4871	195.06	3807.7	270	9700.14	FLAG_ALFA_VSVG
B10n4806	2520.04	101.6	2179.7	212.94	2935	FLAG_ALFA_VSVG
B10n4804	1091.22	169.14	1195.12	194.76	1162	FLAG_ALFA_VSVG
B10n4808	4781.15	222.91	4823.765	256.465	5905.99	FLAG_ALFA_VSVG
B10n4807	3250.65	148.08	3600.4	210.7	2686.57	FLAG_ALFA_VSVG
B10n4809	3248.8	217.58	4285.8	200.6	2319.32	FLAG_ALFA_VSVG
B10n4812	4654.76	114.7	4003.04	236.72	5095.5	FLAG_ALFA_VSVG
B10n4810	5255.92	218.45	5446.8	247.44	5806.16	FLAG_ALFA_VSVG
B10n4816	2384.48	216.605	2817.52	208.48	2678.04	FLAG_ALFA_VSVG
B10n4811	1301.28	162.02	1909.28	191.64	1424.2	FLAG_ALFA_VSVG
B10n4815	3813.36	91	2949.92	220.48	3330.6	FLAG_ALFA_VSVG
B10n4813	2637.1	141.85	3144.1	193.1	2820.89	FLAG_ALFA_VSVG
B10n4817	1640	199.5	1664.4	193.6	1168.96	FLAG_ALFA_VSVG
B10n4820	2197.89	225.32	3143.86	202.92	2658.12	FLAG_ALFA_VSVG
B10n4821	4425.08	231.74	5622.52	233.02	5794.4	FLAG_ALFA_VSVG
B10n4818	3069.5	213.71	3020.05	223.01	3247.54	FLAG_ALFA_VSVG
B10n4819	2708.2	146.42	3149.35	201.95	2181.045	FLAG_ALFA_VSVG
B10n4814	2080.4	233.34	2816.04	212	5192.2	FLAG_ALFA_VSVG
B10n4822	3236.12	167.87	1941.56	239.12	3759.5	FLAG_ALFA_VSVG
B10n4827	1802	203.8	2365	188.6	1391.34	FLAG_ALFA_VSVG
B10n4824	5481.8	202.38	5653.6	232	4264.16	FLAG_ALFA_VSVG
B10n4825	5455.48	118.005	7091.545	251.895	6821.28	FLAG_ALFA_VSVG
B10n4823	3843.2	150.58	3199.2	250.8	5379.4	FLAG_ALFA_VSVG
B10n4829	6698.11	212.3	5615.52	283.44	7408.88	FLAG_ALFA_VSVG
B10n4826	4512.4	147.04	3788.4	250.4	5264.51	FLAG_ALFA_VSVG
B10n4828	1935.2	204.32	2433.6	188	1394.33	FLAG_ALFA_VSVG
B10n4840	2878.2	207.86	3676	196.6	1984.22	FLAG_ALFA_VSVG
B10n4830	3728.15	217.22	3778.63	255.27	4742.42	FLAG_ALFA_VSVG
B10n4831	4101.82	167.31	7038.16	212.82	4576.4	FLAG_ALFA_VSVG
